t,target,cmd,measured
0,20,20,0.1
0.005,20,19.9,0.2
0.01,20,19.8,0.3
0.015,20,19.7,0.4
0.02,20,19.6,0.5
0.025,20,19.5,0.6
0.03,20,19.4,0.7
0.035,20,19.3,0.8
0.04,20,19.2,0.9
0.045,20,19.1,1
0.05,20,19,1.1
0.055,20,18.9,1.2
0.06,20,18.8,1.3
0.065,20,18.7,1.4
0.07,20,18.6,1.4
0.075,20,18.6,1.5
0.08,20,18.5,1.6
0.085,20,18.4,1.7
0.09,20,18.3,1.8
0.095,20,18.2,1.9
0.1,20,18.1,2
0.105,20,18,2.1
0.11,20,17.9,2.2
0.115,20,17.8,2.3
0.12,20,17.7,2.4
0.125,20,17.6,2.4
0.13,20,17.6,2.5
0.135,20,17.5,2.6
0.14,20,17.4,2.7
0.145,20,17.3,2.8
0.15,20,17.2,2.9
0.155,20,17.1,3
0.16,20,17,3
0.165,20,17,3.1
0.17,20,16.9,3.2
0.175,20,16.8,3.3
0.18,20,16.7,3.4
0.185,20,16.6,3.5
0.19,20,16.5,3.6
0.195,20,16.4,3.6
0.2,20,16.4,3.7
0.205,20,16.3,3.8
0.21,20,16.2,3.9
0.215,20,16.1,4
0.22,20,16,4
0.225,20,16,4.1
0.23,20,15.9,4.2
0.235,20,15.8,4.3
0.24,20,15.7,4.4
0.245,20,15.6,4.4
0.25,20,15.6,4.5
0.255,20,15.5,4.6
0.26,20,15.4,4.7
0.265,20,15.3,4.7
0.27,20,15.3,4.8
0.275,20,15.2,4.9
0.28,20,15.1,5
0.285,20,15,5
0.29,20,15,5.1
0.295,20,14.9,5.2
0.3,20,14.8,5.3
0.305,20,14.7,5.3
0.31,20,14.7,5.4
0.315,20,14.6,5.5
0.32,20,14.5,5.6
0.325,20,14.4,5.6
0.33,20,14.4,5.7
0.335,20,14.3,5.8
0.34,20,14.2,5.8
0.345,20,14.2,5.9
0.35,20,14.1,6
0.355,20,14,6.1
0.36,20,13.9,6.1
0.365,20,13.9,6.2
0.37,20,13.8,6.3
0.375,20,13.7,6.3
0.38,20,13.7,6.4
0.385,20,13.6,6.5
0.39,20,13.5,6.5
0.395,20,13.5,6.6
0.4,20,13.4,6.7
0.405,20,13.3,6.7
0.41,20,13.3,6.8
0.415,20,13.2,6.9
0.42,20,13.1,6.9
0.425,20,13.1,7
0.43,20,13,7.1
0.435,20,12.9,7.1
0.44,20,12.9,7.2
0.445,20,12.8,7.3
0.45,20,12.7,7.3
0.455,20,12.7,7.4
0.46,20,12.6,7.5
0.465,20,12.5,7.5
0.47,20,12.5,7.6
0.475,20,12.4,7.6
0.48,20,12.4,7.7
0.485,20,12.3,7.8
0.49,20,12.2,7.8
0.495,20,12.2,7.9
0.5,20,12.1,7.9
0.505,20,12.1,8
0.51,20,12,8.1
0.515,20,11.9,8.1
0.52,20,11.9,8.2
0.525,20,11.8,8.2
0.53,20,11.8,8.3
0.535,20,11.7,8.4
